vid,did,vid_hex,did_hex,family,source
4098,4156,1002,103C,GenericPCI,pci_ids
4098,7618,1002,1DC2,GenericPCI,pci_ids
4098,59984,1002,EA50,GenericPCI,pci_ids
4098,5597,1002,15DD,GenericPCI,pci_ids
4098,4163,1002,1043,GenericPCI,pci_ids
4098,5208,1002,1458,GenericPCI,pci_ids
4098,5598,1002,15DE,GenericPCI,pci_ids
4098,5599,1002,15DF,GenericPCI,pci_ids
4098,5607,1002,15E7,GenericPCI,pci_ids
4098,5631,1002,15FF,GenericPCI,pci_ids
4098,5639,1002,1607,GenericPCI,pci_ids
4098,5686,1002,1636,GenericPCI,pci_ids
4098,5687,1002,1637,GenericPCI,pci_ids
4098,5688,1002,1638,GenericPCI,pci_ids
4098,5695,1002,163F,GenericPCI,pci_ids
4098,5696,1002,1640,GenericPCI,pci_ids
4098,5708,1002,164C,GenericPCI,pci_ids
4098,5709,1002,164D,GenericPCI,pci_ids
4098,5710,1002,164E,GenericPCI,pci_ids
4098,5711,1002,164F,GenericPCI,pci_ids
4098,5761,1002,1681,GenericPCI,pci_ids
4098,5908,1002,1714,GenericPCI,pci_ids
4098,6400,1002,1900,GenericPCI,pci_ids
4098,6401,1002,1901,GenericPCI,pci_ids
4098,6402,1002,1902,GenericPCI,pci_ids
4098,12624,1002,3150,GenericPCI,pci_ids
4098,12625,1002,3151,GenericPCI,pci_ids
4098,12626,1002,3152,GenericPCI,pci_ids
4098,12628,1002,3154,GenericPCI,pci_ids
4098,12629,1002,3155,GenericPCI,pci_ids
4098,12657,1002,3171,GenericPCI,pci_ids
4098,15952,1002,3E50,GenericPCI,pci_ids
4098,15956,1002,3E54,GenericPCI,pci_ids
4098,15984,1002,3E70,GenericPCI,pci_ids
4098,16694,1002,4136,GenericPCI,pci_ids
4098,16695,1002,4137,GenericPCI,pci_ids
4098,16708,1002,4144,GenericPCI,pci_ids
4098,16710,1002,4146,GenericPCI,pci_ids
4098,16711,1002,4147,GenericPCI,pci_ids
4098,16712,1002,4148,GenericPCI,pci_ids
4098,16720,1002,4150,GenericPCI,pci_ids
4098,4098,1002,1002,GenericPCI,pci_ids
4098,5260,1002,148C,GenericPCI,pci_ids
4098,6126,1002,17EE,GenericPCI,pci_ids
4098,6332,1002,18BC,GenericPCI,pci_ids
4098,16721,1002,4151,GenericPCI,pci_ids
4098,16722,1002,4152,GenericPCI,pci_ids
4098,6023,1002,1787,GenericPCI,pci_ids
4098,16723,1002,4153,GenericPCI,pci_ids
4098,16724,1002,4154,GenericPCI,pci_ids
4098,16725,1002,4155,GenericPCI,pci_ids
4098,16727,1002,4157,GenericPCI,pci_ids
4098,16728,1002,4158,GenericPCI,pci_ids
4098,16740,1002,4164,GenericPCI,pci_ids
4098,16741,1002,4165,GenericPCI,pci_ids
4098,16742,1002,4166,GenericPCI,pci_ids
4098,16744,1002,4168,GenericPCI,pci_ids
4098,16752,1002,4170,GenericPCI,pci_ids
4098,16753,1002,4171,GenericPCI,pci_ids
4098,16754,1002,4172,GenericPCI,pci_ids
4098,16755,1002,4173,GenericPCI,pci_ids
4098,16962,1002,4242,GenericPCI,pci_ids
4098,16963,1002,4243,GenericPCI,pci_ids
4098,17206,1002,4336,GenericPCI,pci_ids
4098,5663,1002,161F,GenericPCI,pci_ids
4098,17207,1002,4337,GenericPCI,pci_ids
4098,4116,1002,1014,GenericPCI,pci_ids
4098,17217,1002,4341,GenericPCI,pci_ids
4098,17218,1002,4342,GenericPCI,pci_ids
4098,17221,1002,4345,GenericPCI,pci_ids
4098,17222,1002,4346,GenericPCI,pci_ids
4098,17223,1002,4347,GenericPCI,pci_ids
4098,17224,1002,4348,GenericPCI,pci_ids
4098,17225,1002,4349,GenericPCI,pci_ids
4098,17228,1002,434C,GenericPCI,pci_ids
4098,17229,1002,434D,GenericPCI,pci_ids
4098,17235,1002,4353,GenericPCI,pci_ids
4098,17236,1002,4354,GenericPCI,pci_ids
4098,17240,1002,4358,GenericPCI,pci_ids
4098,17249,1002,4361,GenericPCI,pci_ids
4098,17250,1002,4362,GenericPCI,pci_ids
4098,17251,1002,4363,GenericPCI,pci_ids
4098,17253,1002,4365,GenericPCI,pci_ids
4098,17255,1002,4367,GenericPCI,pci_ids
4098,17256,1002,4368,GenericPCI,pci_ids
4098,17257,1002,4369,GenericPCI,pci_ids
4098,17260,1002,436C,GenericPCI,pci_ids
4098,17261,1002,436D,GenericPCI,pci_ids
4098,17262,1002,436E,GenericPCI,pci_ids
4098,17264,1002,4370,GenericPCI,pci_ids
4098,4133,1002,1025,GenericPCI,pci_ids
4098,4187,1002,105B,GenericPCI,pci_ids
4098,4219,1002,107B,GenericPCI,pci_ids
4098,17265,1002,4371,GenericPCI,pci_ids
4098,17266,1002,4372,GenericPCI,pci_ids
4098,17267,1002,4373,GenericPCI,pci_ids
4098,17268,1002,4374,GenericPCI,pci_ids
4098,17269,1002,4375,GenericPCI,pci_ids
4098,17270,1002,4376,GenericPCI,pci_ids
4098,17271,1002,4377,GenericPCI,pci_ids
4098,17272,1002,4378,GenericPCI,pci_ids
4098,17273,1002,4379,GenericPCI,pci_ids
4098,17274,1002,437A,GenericPCI,pci_ids
4098,5361,1002,14F1,GenericPCI,pci_ids
4098,17275,1002,437B,GenericPCI,pci_ids
4098,4303,1002,10CF,GenericPCI,pci_ids
4098,5940,1002,1734,GenericPCI,pci_ids
4098,17280,1002,4380,GenericPCI,pci_ids
4098,4473,1002,1179,GenericPCI,pci_ids
4098,6130,1002,17F2,GenericPCI,pci_ids
4098,17281,1002,4381,GenericPCI,pci_ids
4098,17282,1002,4382,GenericPCI,pci_ids
4098,17283,1002,4383,GenericPCI,pci_ids
4098,4121,1002,1019,GenericPCI,pci_ids
4098,17284,1002,4384,GenericPCI,pci_ids
4098,17285,1002,4385,GenericPCI,pci_ids
4098,5593,1002,15D9,GenericPCI,pci_ids
